constituencyId,constituencyName,prefix,firstName,lastName,partyName,partyAbbreviation,isHonourable,isDoctor,isCounsel,profileUrl,imagePath,imageDescription
47,Peace River South,Mr.,Larry,Neufeld,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Neufeld-Larry,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Neufeld-Larry.jpeg,MLA Larry Neufeld
49,Port Coquitlam,Mr.,Mike,Farnworth,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Farnworth-Mike,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Farnworth-Mike.jpg,MLA mike Farnworth
51,Powell River-Sunshine Coast,Ms.,Randene,Neill,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Neill-Randene,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Neill-Randene.jpg,MLA Randene Neill
52,Prince George-Mackenzie,Mr.,Kiel,Giddens,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Giddens-Kiel,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Giddens-Kiel.jpeg,MLA Kiel Giddens
53,Prince George-Valemount,Ms.,Rosalyn,Bird,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Bird-Rosalyn,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Rosalyn Bird Conservative Party _KRL_20241210__AVE7919 copy 2.jpg,MLA Rosalyn Bird
56,Richmond-Queensborough,Mr.,Steve,Kooner,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Kooner-Steve,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/MLA Kooner.jpg,MLA Steve Kooner
58,Saanich North and the Islands,Mr.,Rob,Botterell,British Columbia Green Party,BC Green Party,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Botterell-Rob,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Botterell-Rob.jpg,MLA Rob Botterell
59,Saanich South,Ms.,Lana,Popham,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Popham-Lana,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Popham-Lana.jpg,MLA Lana Popham
61,Skeena,Ms.,Claire,Rattée,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Ratt%C3%A9e-Claire,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Claire Ratee Cropped.jpg,MLA Claire Rattée
63,Surrey South,Mr.,Brent,Chapman,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Chapman-Brent,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Chapman-Brent.jpg,MLA Brent Chapman
64,Surrey-Cloverdale,Ms.,Elenore,Sturko,Independent,Independent,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Sturko-Elenore,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Sturko-Elenore.jpg,MLA Elenore Sturko
65,Surrey-Fleetwood,Mr.,Jagrup,Brar,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Brar-Jagrup,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Brar-Jagrup.jpg,MLA Jagrup Brar
67,Surrey-Guildford,Mr.,Garry,Begg,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Begg-Garry,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Begg-Garry.jpg,MLA Garry Begg
68,Surrey-Newton,Ms.,Jessie,Sunner,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Sunner-Jessie,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Sunner-Jessie.jpg,MLA Jessie Sunner
